funcion,tipo_cruza,dim,tam_pob,generaciones,repeticion,semilla,mejor_final,peor_final,promedio_final,tiempo_total_seg,diversidad
sphere,un_punto,10,100,1000,0,42,0.003188824722576876,3.4928127890801264,1.3932975082598977,0.9809415299996544
sphere,uniforme,10,100,1000,0,42,0.005841481725205771,4.117294423886872,1.8998173971506709,1.14868550600022
sphere,blx,10,100,1000,0,42,0.0065544607315413846,16.281019152424786,5.630093000909569,1.1456800779997138
sphere,sbx,10,100,1000,0,42,0.0011864161688123276,5.250244889588006,1.785554713909498,1.102731834000224
rastrigin,un_punto,10,100,1000,0,42,0.18448753963178888,83.61432811937766,29.969312381426583,1.3101264770002672
rastrigin,uniforme,10,100,1000,0,42,0.15706093940542587,77.22455808752619,40.496808835419245,1.5059195779995207
rastrigin,blx,10,100,1000,0,42,6.464506666303421,144.4979013912533,91.42554982429193,1.5431727199993475
rastrigin,sbx,10,100,1000,0,42,0.10733226846315347,87.63294509184685,34.82326442562186,1.4961920260002444
rosenbrock,un_punto,10,100,1000,0,42,3.807142392904092,213.92992189795822,63.348039386438174,1.2839586789996247
rosenbrock,uniforme,10,100,1000,0,42,7.062488928758468,126.8766436253496,54.30292924816689,1.5139611510003306
rosenbrock,blx,10,100,1000,0,42,8.918744858262793,1682.7635628033863,392.3214927035501,1.5236636989993713
rosenbrock,sbx,10,100,1000,0,42,6.204131790940175,131.79267333092008,43.71551879653647,1.5036078869998164
sphere,un_punto,10,100,1000,1,43,0.007443099462717702,5.238508137885541,1.5341516726642714,0.8433697979999124
sphere,uniforme,10,100,1000,1,43,0.006502067042710665,5.413323663928504,1.8354132573997008,1.065547625000363
sphere,blx,10,100,1000,1,43,0.023786937499775757,8.951410039286959,3.445283388344452,1.0897153659998366
sphere,sbx,10,100,1000,1,43,0.000591306956567755,5.30318235367854,1.5927442857976928,1.0737858709999273
rastrigin,un_punto,10,100,1000,1,43,0.07846676622175153,78.8582339598394,32.025397587228255,1.2474228099999891
rastrigin,uniforme,10,100,1000,1,43,0.10540987025143522,84.35181066147638,34.82362525054256,1.4633683129995916
rastrigin,blx,10,100,1000,1,43,4.4001719201428955,154.27939415060865,99.16390017769584,1.4974252199999682
rastrigin,sbx,10,100,1000,1,43,0.0608935410627538,84.30764983323307,35.76775830618853,1.4735830109993913
rosenbrock,un_punto,10,100,1000,1,43,6.921730364178443,136.5883696593899,47.48337014519655,1.325931723999929
rosenbrock,uniforme,10,100,1000,1,43,6.900862232284384,130.9789237845981,49.26563923856669,1.508140893000018
rosenbrock,blx,10,100,1000,1,43,11.012907933923133,741.6367704402518,174.26644174575827,1.5317878949999795
rosenbrock,sbx,10,100,1000,1,43,7.066497279467664,88.45026369935735,33.126382637091936,1.512700926999969
sphere,un_punto,10,100,1000,2,44,0.0034858939762119757,4.467005123642618,1.6253659595396588,0.8502990719998706
sphere,uniforme,10,100,1000,2,44,0.0024080374646335543,4.4308873273993505,1.5723458546400249,1.0683371719997012
sphere,blx,10,100,1000,2,44,0.02693935425800962,10.76026402113978,3.860433017550664,1.091866280999966
sphere,sbx,10,100,1000,2,44,0.0010255764168132916,4.0340335607221025,1.3031452809475996,1.073627679999845
rastrigin,un_punto,10,100,1000,2,44,0.12505440921540867,68.23242263955206,35.40472008454099,1.2388769110002613
rastrigin,uniforme,10,100,1000,2,44,0.20277622400752193,68.78426687069567,32.52238547595479,1.4706384150003942
rastrigin,blx,10,100,1000,2,44,2.218870845957227,147.97869291063677,92.92199734184963,1.496115338999516
rastrigin,sbx,10,100,1000,2,44,0.15984721326364593,81.24599024029834,36.84382893393237,1.4903045800001564
rosenbrock,un_punto,10,100,1000,2,44,3.619494370663762,178.32529746408926,61.3175972329423,1.2909304169997995
rosenbrock,uniforme,10,100,1000,2,44,8.08631661443238,101.30056649307747,37.28551049102783,1.5011470850004116
rosenbrock,blx,10,100,1000,2,44,8.59439376931989,2138.6739050273186,294.57130837295864,1.5280913839997083
rosenbrock,sbx,10,100,1000,2,44,7.60248127123146,70.3658869253023,29.107651728371735,1.5059903970004598
sphere,un_punto,10,100,1000,3,45,0.007040991761224546,4.565202320257452,1.5328932912197977,0.8458282260007763
sphere,uniforme,10,100,1000,3,45,0.008179654261490409,4.684946770959285,1.3688724858603185,1.0653503220000857
sphere,blx,10,100,1000,3,45,0.06217961502770844,7.476026281309076,2.918201727079459,1.0984803600003943
sphere,sbx,10,100,1000,3,45,0.0008068230536239749,5.068403891561057,1.3225996620005835,1.067753643999822
rastrigin,un_punto,10,100,1000,3,45,0.05069435053029281,77.5829363555647,33.43157959720096,1.2564761109997562
rastrigin,uniforme,10,100,1000,3,45,0.1547891105648489,76.80135560142841,29.87425066774639,1.4950309770001695
rastrigin,blx,10,100,1000,3,45,3.3767396663105558,129.38082384207925,79.82414275531913,1.4888309900006789
rastrigin,sbx,10,100,1000,3,45,0.10013215011652221,79.4314686238243,34.55055559730898,1.4719780489995173
rosenbrock,un_punto,10,100,1000,3,45,5.300243484341696,189.16275421733792,49.86614536095196,1.301092873000016
rosenbrock,uniforme,10,100,1000,3,45,6.43957393257817,135.72481230010553,50.46486637673379,1.4944974569998521
rosenbrock,blx,10,100,1000,3,45,10.906938949953847,360.30250237680275,134.19520043764942,1.5325745919999463
rosenbrock,sbx,10,100,1000,3,45,0.12354869852104261,180.6715243663511,53.98948783837493,1.526001510000242
sphere,un_punto,10,100,1000,4,46,0.009278067604166823,3.218446009570548,1.3434563060628835,0.8521320669997294
