funcion,tipo_cruza,dim,tam_pob,generaciones,repeticion,semilla,mejor_final,peor_final,promedio_final,tiempo_total_seg
rosenbrock,un_punto,10,100,1000,4,46,6.428212883620936,66.41633396521708,19.705893854374402,1.7475395960000242
rosenbrock,uniforme,10,100,1000,4,46,7.129645178500908,87.1944256959507,23.421641378975313,2.0780520369999067
rosenbrock,blx,10,100,1000,4,46,7.620079505164004,83.46755384828697,28.641459156180822,2.088115033000122
rosenbrock,sbx,10,100,1000,4,46,6.209724884020591,63.00056117283526,17.348540708914516,2.0704524969996783
sphere,un_punto,10,100,1000,5,47,1.7410247850974282e-06,2.4320727060790404,0.3040195031898347,1.1888316929998837
sphere,uniforme,10,100,1000,5,47,3.2793714928180193e-06,1.4382806346237935,0.353385336912026,1.5164549940000143
sphere,blx,10,100,1000,5,47,4.10579674643327e-10,1.6673766553043021,0.34469113475772545,1.4344755560000522
sphere,sbx,10,100,1000,5,47,8.127499765353316e-07,1.6660598108657145,0.3236955583587273,1.4046686729998328
rastrigin,un_punto,10,100,1000,5,47,0.00022009492383290308,40.31401343025108,8.009682633601715,1.7545565169998554
rastrigin,uniforme,10,100,1000,5,47,0.00040699972191760025,52.41345340208606,9.899545892306632,2.056083972000124
rastrigin,blx,10,100,1000,5,47,1.1484928563731955e-09,49.998678999288956,9.439635230843777,2.046376539999983
rastrigin,sbx,10,100,1000,5,47,0.00024458498577928367,46.467573916532075,9.775844328069539,2.064497167999889
rosenbrock,un_punto,10,100,1000,5,47,6.38993041329409,122.27767837868947,29.15799502115114,1.74371122499997
rosenbrock,uniforme,10,100,1000,5,47,6.6987661023572,88.03413709624893,25.415064946064845,2.104071965000003
rosenbrock,blx,10,100,1000,5,47,6.647159797993275,94.87957283223356,27.46389410902894,2.042200218999824
rosenbrock,sbx,10,100,1000,5,47,0.20471744678294784,239.32699152100628,28.446925422090413,2.037347481999859
sphere,un_punto,10,100,1000,6,48,2.2521344693156625e-06,1.6591530475240468,0.3708346281209912,1.1882971949999046
sphere,uniforme,10,100,1000,6,48,3.428211151759106e-06,1.7459258639838904,0.2799554934959281,1.4875383139997211
sphere,blx,10,100,1000,6,48,7.445713778259964e-10,1.9726331032573516,0.29531249040909346,1.4252441650000947
sphere,sbx,10,100,1000,6,48,2.709096035800812e-07,1.8055377390006846,0.39483495575806093,1.3709556170001633
rastrigin,un_punto,10,100,1000,6,48,0.0003321228676611554,41.137522692581484,9.452104197494402,1.7132817039996553
rastrigin,uniforme,10,100,1000,6,48,0.0003215513467296205,53.353728977837214,9.45439108272481,2.0048331160001
rastrigin,blx,10,100,1000,6,48,3.308457507955609e-09,47.714422776828464,8.984804393935471,2.1972709759997997
rastrigin,sbx,10,100,1000,6,48,6.486574331177053e-05,43.347663274140416,10.474542966257472,1.9369475150001563
rosenbrock,un_punto,10,100,1000,6,48,5.203814565545312,86.24685239233585,24.979337711752695,1.6991379309997683
rosenbrock,uniforme,10,100,1000,6,48,6.549511036411288,93.71608903580825,21.07267371036222,2.0107145530000707
rosenbrock,blx,10,100,1000,6,48,5.13518490657399,153.1923282737933,30.170864224578295,1.9696990620000179
rosenbrock,sbx,10,100,1000,6,48,5.448591131742666,89.2444241147588,23.715580906103977,1.9674347259997376
sphere,un_punto,10,100,1000,7,49,3.103396786926613e-06,1.8419800999224432,0.393286972941121,1.1210718059996907
sphere,uniforme,10,100,1000,7,49,2.646812946512479e-06,1.7138516635420606,0.2679754841540395,1.4146449950003444
sphere,blx,10,100,1000,7,49,4.977091333145167e-10,2.142706487847495,0.38411769500531284,1.3801583029999165
sphere,sbx,10,100,1000,7,49,5.592569915901391e-07,1.287083802718252,0.2812976473918595,1.3661009229999763
rastrigin,un_punto,10,100,1000,7,49,0.000293122970262516,46.25439373148088,9.842689449907878,1.6991488740000023
rastrigin,uniforme,10,100,1000,7,49,0.00043684748112582383,36.6656212669889,7.688284944608176,1.9897890299998835
rastrigin,blx,10,100,1000,7,49,6.372857797032339e-10,38.793441837001794,10.256659410444424,1.9624776679997922
rastrigin,sbx,10,100,1000,7,49,9.933133492268098e-05,39.71827622002062,8.132320296755854,1.9381543330000568
rosenbrock,un_punto,10,100,1000,7,49,5.427702072924593,101.17998071683971,23.250709451871657,1.7098563710001144
rosenbrock,uniforme,10,100,1000,7,49,6.2430050256313,89.76215256643793,21.805933659495427,1.996493389999614
rosenbrock,blx,10,100,1000,7,49,6.17421408435855,118.09317983959538,30.8528331740398,1.9685465410002507
rosenbrock,sbx,10,100,1000,7,49,6.133990774800994,63.99462652238053,17.204458524808473,1.9577987100001337
sphere,un_punto,10,100,1000,8,50,7.851659916011867e-07,1.5694717128278475,0.3125056880460165,1.1147784580002735
sphere,uniforme,10,100,1000,8,50,7.109000103699857e-07,1.443373806953663,0.37373829277543463,1.410297145000186
